×éºÏID,¸÷Ä¿±ê²ÄÁÏ¸ùÊı,¸÷Ä¿±ê²ÄÁÏË³Ğò,ÇĞ¸î×é×°³¤¶È
116,"3110: 3, 4340: 8, 5310: 3","[3110, 4340, 4340, 4340, 3110, 4340, 4340, 5310, 4340, 4340, 3110, 5310, 5310, 4340]","[[np.int64(3110), np.int64(4340), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(3110), np.int64(4340), np.int64(420)], [np.int64(3920), np.int64(5310), np.int64(2770)], [np.int64(1570), np.int64(4340), np.int64(3110), np.int64(2980)], [np.int64(2330), np.int64(5310), np.int64(4340), np.int64(20)]]"
117,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
118,"3110: 5, 4340: 5, 5310: 2","[3110, 4340, 3110, 4340, 3110, 5310, 5310, 4340, 4340, 4340, 3110, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(2900), np.int64(3110), np.int64(5310), np.int64(680)], [np.int64(4630), np.int64(4340), np.int64(3030)], [np.int64(1310), np.int64(4340), np.int64(3110), np.int64(3110), np.int64(130)]]"
119,"3110: 5, 4340: 5, 5310: 2","[3110, 4340, 3110, 4340, 3110, 5310, 5310, 4340, 4340, 4340, 3110, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(2900), np.int64(3110), np.int64(5310), np.int64(680)], [np.int64(4630), np.int64(4340), np.int64(3030)], [np.int64(1310), np.int64(4340), np.int64(3110), np.int64(3110), np.int64(130)]]"
120,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
121,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
122,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
123,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
124,"3110: 5, 4340: 5, 5310: 2","[3110, 4340, 3110, 4340, 3110, 5310, 5310, 4340, 4340, 4340, 3110, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(2900), np.int64(3110), np.int64(5310), np.int64(680)], [np.int64(4630), np.int64(4340), np.int64(3030)], [np.int64(1310), np.int64(4340), np.int64(3110), np.int64(3110), np.int64(130)]]"
125,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
